#{"t_start": 1745328176.835186, "env_id": "None"}
r,l,t
1682.300527,346,62.566342
11525.516577,439,63.867414
11480.807281,437,65.085296
11092.641431,349,66.068226
11092.641431,349,67.074183
7355.164294,638,132.390411
6210.19799,554,133.963701
6202.286369,553,135.529285
6199.6689,554,137.089939
6045.421203,536,138.589238
10194.035174,532,203.051154
10792.268072,327,204.016731
10792.268072,327,205.035794
10792.268072,327,205.96496
10792.268072,327,206.861999
3312.331938,425,268.800684
3312.331938,425,270.021491
3312.331938,425,271.233673
3312.331938,425,272.459665
3312.331938,425,273.689424
4094.424543,429,337.445528
11595.099512,407,338.589581
11595.099512,407,339.828463
11595.099512,407,340.956954
11595.099512,407,342.16225
10248.42539,320,403.121965
10248.42539,320,404.030793
10248.42539,320,405.038555
10248.42539,320,405.956189
10248.42539,320,406.829892
8309.929208,237,471.242865
8309.929208,237,471.956103
8309.929208,237,472.660024
8309.929208,237,473.418257
8310.274053,237,474.142956
11367.87625,316,532.632632
11367.87625,316,533.572686
11367.87625,316,534.498242
11367.87625,316,535.484586
11367.87625,316,536.441289
8202.689246,235,591.4177
8202.689246,235,592.077613
8202.689246,235,592.753253
8202.689246,235,593.417105
8202.689246,235,594.066623
8260.148086,239,651.882327
8260.148086,239,652.587871
8260.148086,239,653.270595
8260.148086,239,653.980587
8260.148086,239,654.70278
9808
280.826494,22,9.660869
503.882654,32,9.798811
543.436573,31,9.934273
329.217893,24,10.036089
309.521297,32,10.176956
402.523297,31,10.320847
404.260308,33,10.458201
395.928125,30,10.585916
223.776886,26,10.705958
277.995123,27,10.821477
425.22272,33,10.95685
308.895266,33,13.960572
299.342578,25,14.072397
335.950736,24,14.178926
382.815952,23,14.279456
389.68092,24,14.389419
462.85152,30,14.511945
319.278388,28,14.639762
372.244889,30,14.761815
358.977043,28,14.888877
567.893936,38,15.036401
396.114636,30,15.179042
284.419331,22,15.278909
273.142322,22,15.385624
306.796936,24,15.49967
375.172176,25,15.608601
271.132105,28,15.734132
381.017538,25,15.851669
333.005813,34,15.996243
219.131878,35,16.160476
411.788118,27,16.281522
242.868989,29,16.458546
354.186955,31,16.643803
388.256397,26,16.772614
483.923543,31,16.922446
412.798217,35,17.099667
393.071235,33,17.260762
122.60333,19,18.065479
323.164047,39,18.237005
391.243564,25,18.35496
274.425243,25,18.467993
270.470072,21,18.579925
289.633883,32,18.71696
531.224297,32,18.854505
467.68496,29,18.980443
362.922853,35,19.119609
410.193458,35,19.264466
367.006207,30,19.404987
236.529484,26,19.530179
452.957486,30,19.662245
456.879009,27,19.781302
422.162619,35,19.926843
320.651362,28,20.049381
538.955022,34,20.183429
377.035223,25,20.296229
332.478201,31,20.430771
330.167447,23,20.552657
422.361939,42,20.719357
390.290458,31,20.852278
657.723829,36,21.000327
227.028425,30,21.13838
269.632297,29,21.262917
388.495394,28,21.375975
441.529336,31,21.514818
413.066309,26,21.632567
309.693679,28,21.75752
371.242278,30,21.881525
-43.161589,29,22.013059
361.290113,30,22.137593
92.591349,37,22.27477
422.819104,31,22.393744
305.328765,27,22.502275
301.655845,26,22.623281
507.871176,27,22.749305
316.544559,27,22.892028
294.109119,30,23.010858
337.276368,23,23.113396
320.957377,30,23.252296
440.386679,32,23.398237
292.807429,27,23.508168
379.509927,31,23.644032
361.499631,22,23.749734
322.007981,32,26.816372
537.90231,38,26.991446
402.808444,27,27.114965
421.229322,28,27.235759
467.872457,29,27.34938
391.303907,25,27.457926
